FlightName,SourceName_From,Destination,Dep_From,Arrivel,TotalStops,Duration,Price
Air India,Dubai,Mumbai,05:00,09:35,Non stop,03 h 05 m,AED 296AED 271
Air Arabia Abu Dhabi,Abu Dhabi,Mumbai,01:05,05:45,Non stop,03 h 10 m,AED 300AED 275
SpiceJet,Dubai,Mumbai,01:30,06:20,Non stop,03 h 20 m,AED 314AED 289
IndiGo,Dubai,Mumbai,05:00,09:45,Non stop,03 h 15 m,AED 357AED 332
,,,,,,,
,,,,,,,
,,,,,,,
flydubai,Dubai,Mumbai,23:30,04:20,Non stop,03 h 20 m,AED 357AED 332
Go First,Abu Dhabi,Mumbai,22:35,03:10,Non stop,03 h 05 m,AED 372AED 347
Air India Express,Dubai,Mumbai,18:25,23:20,Non stop,03 h 25 m,AED 378AED 353
Air India,Abu Dhabi,Mumbai,01:10,06:10,Non stop,03 h 30 m,AED 386AED 361
IndiGo,Sharjah,Mumbai,22:55,09:45,1 stop via Hyderabad,09 h 20 m,AED 395AED 370
IndiGo,Sharjah,Mumbai,01:30,16:35,1 stop via Lucknow,13 h 35 m,AED 413AED 388
,,,,,,,
,,,,,,,
IndiGo,Sharjah,Mumbai,05:00,07:10,1 stop via Thiruvananthapuram,24 h 40 m,AED 432AED 407
Air India,Dubai,Mumbai,14:45,08:55,1 stop via Kozhikode,16 h 40 m,AED 434AED 409
,,,,,,,
Etihad Airways,Dubai,Mumbai,16:15,19:20,1 stop via Abu Dhabi,25 h 35 m,AED 442AED 417
,,,,,,,
Etihad Airways,Abu Dhabi,Mumbai,14:50,19:20,Non stop,03 h,AED 444AED 419
Etihad Airways,Dubai,Mumbai,09:35,19:20,1 stop via Abu Dhabi,08 h 15 m,AED 444AED 419
Etihad Airways,Dubai,Mumbai,06:05,19:20,1 stop via Abu Dhabi,11 h 45 m,AED 444AED 419
,,,,,,,
,,,,,,,
Etihad Airways,Dubai,Mumbai,22:30,19:20,1 stop via Abu Dhabi,19 h 20 m,AED 444AED 419
,,,,,,,
,,,,,,,
IndiGo,Sharjah,Mumbai,01:30,21:10,1 stop via Lucknow,18 h 10 m,AED 450AED 425
IndiGo,Sharjah,Mumbai,01:30,07:55,1 stop via Lucknow,28 h 55 m,AED 450AED 425
Air Arabia,Sharjah,Mumbai,23:45,04:15,Non stop,03 h,AED 460AED 435
Maastricht Airlines,Abu Dhabi,Mumbai,22:35,03:10,Non stop,03 h 05 m,AED 473AED 448
SpiceJet,Dubai,Mumbai,22:20,09:35,1 stop via New Delhi,09 h 45 m,AED 501AED 476
SpiceJet,Dubai,Mumbai,10:50,09:35,1 stop via New Delhi,21 h 15 m,AED 501AED 476
,,,,,,,
,,,,,,,
,,,,,,,
Air Arabia,Sharjah,Mumbai,16:40,21:10,Non stop,03 h,AED 520AED 495
Air India,Dubai,Mumbai,23:40,04:15,Non stop,03 h 05 m,AED 526AED 501
Qatar Airways,Abu Dhabi,Mumbai,05:55,14:20,1 stop via Doha,06 h 55 m,AED 530AED 505
Qatar Airways,Abu Dhabi,Mumbai,23:45,14:20,1 stop via Doha,13 h 05 m,AED 530AED 505
,,,,,,,
IndiGo,Sharjah,Mumbai,22:55,00:45,1 stop via Hyderabad,24 h 20 m,AED 535AED 510
Qatar Airways,Abu Dhabi,Mumbai,05:55,02:55,1 stop via Doha,19 h 30 m,AED 540AED 515
Vistara,Dubai,Mumbai,19:15,00:15,Non stop,03 h 30 m,AED 570AED 545
Qatar Airways,Sharjah,Mumbai,17:45,02:55,1 stop via Doha,07 h 40 m,AED 600AED 575
,,,,,,,
Qatar Airways,Sharjah,Mumbai,11:20,02:55,1 stop via Doha,14 h 05 m,AED 600AED 575
Emirates,Dubai,Mumbai,09:30,14:10,Non stop,03 h 10 m,AED 610AED 585
,,,,,,,
Emirates,Dubai,Mumbai,03:30,08:10,Non stop,03 h 10 m,AED 610AED 585
,,,,,,,
,,,,,,,
Emirates,Abu Dhabi,Mumbai,16:30,02:30,1 stop via Dubai,08 h 30 m,AED 610AED 585
,,,,,,,
,,,,,,,
Emirates,Abu Dhabi,Mumbai,22:00,08:10,1 stop via Dubai,08 h 40 m,AED 610AED 585
Emirates,Abu Dhabi,Mumbai,03:00,14:10,1 stop via Dubai,09 h 40 m,AED 610AED 585
Emirates,Abu Dhabi,Mumbai,03:00,17:45,1 stop via Dubai,13 h 15 m,AED 610AED 585
Emirates,Abu Dhabi,Mumbai,06:00,20:50,1 stop via Dubai,13 h 20 m,AED 610AED 585
,,,,,,,
,,,,,,,
Emirates,Abu Dhabi,Mumbai,03:00,20:50,1 stop via Dubai,16 h 20 m,AED 610AED 585
Emirates,Abu Dhabi,Mumbai,06:00,02:30,1 stop via Dubai,19 h,AED 610AED 585
,,,,,,,
,,,,,,,
Qatar Airways,Sharjah,Mumbai,17:45,14:20,1 stop via Doha,19 h 05 m,AED 610AED 585
,,,,,,,
Emirates,Abu Dhabi,Mumbai,09:30,08:10,1 stop via Dubai,21 h 10 m,AED 610AED 585
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
IndiGo,Abu Dhabi,Mumbai,02:35,15:20,1 stop via Kochi,11 h 15 m,AED 625AED 600
,,,,,,,
,,,,,,,
IndiGo,Dubai,Mumbai,22:00,02:50,Non stop,03 h 20 m,AED 660AED 635
IndiGo,Abu Dhabi,Mumbai,01:40,21:10,1 stop via Lucknow,18 h,AED 664AED 639
IndiGo,Abu Dhabi,Mumbai,01:40,07:55,1 stop via Lucknow,28 h 45 m,AED 664AED 639
,,,,,,,
Go First,Abu Dhabi,Mumbai,21:40,10:10,1 stop via New Delhi,11 h,AED 688AED 663
Go First,Abu Dhabi,Mumbai,21:40,16:40,1 stop via New Delhi,17 h 30 m,AED 688AED 663
